EconState,XPState,TowerState,DragonState,VisionState,FightState,Action,Q_Value,IsBestAction
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,EvenFight,Baron_Control,3.0942773818969727,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,LowVision,EvenFight,Tower_Push,3.938359022140503,True
Econ_Even,XP_Ahead,TowerEven,DragonBehind,LowVision,EvenFight,Safe_Farm,3.922976493835449,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,LowVision,EvenFight,Dragon_Control,3.321876287460327,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,LowVision,EvenFight,Vision_Control,3.43810772895813,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,LowVision,EvenFight,Group_Attack,3.937589406967163,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,LowVision,EvenFight,Baron_Control,3.6146817207336426,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,LosingFight,Tower_Push,3.4407339096069336,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,LosingFight,Safe_Farm,3.5192184448242188,True
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,LosingFight,Dragon_Control,3.0337255001068115,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,LosingFight,Vision_Control,3.1347999572753906,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,LosingFight,Group_Attack,3.3180744647979736,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,LowVision,LosingFight,Baron_Control,3.0942091941833496,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,LowVision,LosingFight,Tower_Push,3.184884786605835,True
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,LowVision,LosingFight,Safe_Farm,2.971223831176758,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,LowVision,LosingFight,Dragon_Control,2.8137753009796143,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,LowVision,LosingFight,Vision_Control,2.85153865814209,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,LowVision,LosingFight,Group_Attack,2.9427006244659424,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,LowVision,LosingFight,Baron_Control,2.6802585124969482,False
Econ_Crushing,XP_Dominating,TowerEven,DragonEven,HighVision,WinningFight,Tower_Push,4.5273942947387695,False
Econ_Crushing,XP_Dominating,TowerEven,DragonEven,HighVision,WinningFight,Safe_Farm,4.7859272956848145,False
Econ_Crushing,XP_Dominating,TowerEven,DragonEven,HighVision,WinningFight,Dragon_Control,4.678981304168701,False
Econ_Crushing,XP_Dominating,TowerEven,DragonEven,HighVision,WinningFight,Vision_Control,4.694953918457031,False
Econ_Crushing,XP_Dominating,TowerEven,DragonEven,HighVision,WinningFight,Group_Attack,5.039529323577881,True
Econ_Crushing,XP_Dominating,TowerEven,DragonEven,HighVision,WinningFight,Baron_Control,4.652172088623047,False
Econ_Ahead,XP_Ahead,TowerEven,DragonAhead,MedVision,WinningFight,Tower_Push,4.522904872894287,False
Econ_Ahead,XP_Ahead,TowerEven,DragonAhead,MedVision,WinningFight,Safe_Farm,4.67343282699585,False
Econ_Ahead,XP_Ahead,TowerEven,DragonAhead,MedVision,WinningFight,Dragon_Control,4.961630344390869,False
Econ_Ahead,XP_Ahead,TowerEven,DragonAhead,MedVision,WinningFight,Vision_Control,4.447162628173828,False
